dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,1,convs.0,2048,2048,3,0.20380766689777374,0.20853690803050995,0.004729241132736206,0.006187915802001953,0.015793679282069206,test,0.2062855362892151,0.15753552317619324,0.03132489696145058,0.31044813050239084,128,121.36434173583984,0.9481589198112488,0.3170098662376404,0.000166926474776119,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,2,pns.0,2048,2048,3,0.20720788836479187,0.2123117744922638,0.005103886127471924,0.0066626667976379395,0.016514144837856293,test,0.20637387037277222,0.15753552317619324,0.31044507026672363,0.31044808644283356,128,121.37319946289062,0.948228120803833,0.9979766607284546,0.0016543231904506683,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,3,convs.1,2048,2048,3,0.0721135213971138,0.0732954889535904,0.001181967556476593,0.0013780593872070312,0.011529877781867981,test,0.07123076915740967,0.04759093374013901,0.05125565081834793,0.09489410189797666,128,100.91809844970703,0.7884226441383362,0.7344285845756531,0.0003143414214719087,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,4,pns.1,2048,2048,3,0.07415594160556793,0.07530785351991653,0.0011519119143486023,0.0013521313667297363,0.01101629063487053,test,0.07194221019744873,0.04759093374013901,0.0948939174413681,0.09489408712521874,128,100.8665771484375,0.788020133972168,0.9993046522140503,0.0005819668876938522,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,5,convs.2,2048,2048,3,0.027018917724490166,0.02739955671131611,0.000380638986825943,0.0004316568374633789,0.010205652564764023,test,0.027065634727478027,0.015617519617080688,0.017161358147859573,0.03153238862051514,128,90.7135009765625,0.7086992263793945,0.7375741600990295,0.00011532474309206009,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,6,pns.2,2048,2048,3,0.025982743129134178,0.026336632668972015,0.0003538895398378372,0.0004025697708129883,0.009991595521569252,test,0.02638232707977295,0.015617519617080688,0.03153232857584953,0.03153239059858857,128,90.85111236572266,0.7097743153572083,0.9997878074645996,0.00021189800463616848,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,7,convs.3,2048,2048,3,0.009732356294989586,0.009834104217588902,0.00010174792259931564,0.00011742115020751953,0.008185451850295067,test,0.009792208671569824,0.0054929787293076515,0.006249877158552408,0.011095129179473624,128,81.50328826904297,0.6367444396018982,0.7504861950874329,4.362086110631935e-05,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,8,pns.3,2048,2048,3,0.009627814404666424,0.009741539135575294,0.0001137247309088707,0.00012934207916259766,0.008986549451947212,test,0.009833216667175293,0.00549297733232379,0.011095109395682812,0.011095129235319917,128,81.5135498046875,0.6368246078491211,0.9999372363090515,7.743803143966943e-05,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,9,convs.4,2048,2048,3,0.0031725007575005293,0.003218937199562788,4.643644206225872e-05,5.131959915161133e-05,0.010629073716700077,test,0.00319671630859375,0.0017149265622720122,0.0027410699985921383,0.0034541870763106996,128,78.64653015136719,0.6144260168075562,0.8907977938652039,1.9635506760096177e-05,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,10,pns.4,2048,2048,3,0.0031498069874942303,0.0031873793341219425,3.757234662771225e-05,4.2557716369628906e-05,0.00889500044286251,test,0.0031047463417053223,0.0017149258637800813,0.0034541829954832792,0.003454187730852831,128,78.32079315185547,0.6118811964988708,0.9999808073043823,2.4743847461650148e-05,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,11,convs.5,2048,2048,3,0.0008763315854594111,0.0008867439464665949,1.041236100718379e-05,1.1742115020751953e-05,0.008888394571840763,test,0.0008691549301147461,0.0004698963603004813,0.0008097041863948107,0.0009492296421185837,128,73.52429962158203,0.5744085907936096,0.9235801696777344,6.01311148784589e-06,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,12,pns.5,2048,2048,3,0.00093113660113886,0.0009406383614987135,9.501760359853506e-06,1.0967254638671875e-05,0.0077382768504321575,test,0.0009025931358337402,0.00046989592374302447,0.0009492285898886621,0.0009492297214586693,128,73.7491683959961,0.5761653780937195,0.9999926686286926,7.0492624217877164e-06,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,13,convs.6,2048,2048,3,0.0002747067192103714,0.00027834621141664684,3.639492206275463e-06,4.112720489501953e-06,0.009859939105808735,test,0.00027626752853393555,0.00014215770352166146,0.00024080404546111822,0.00028747333658956823,128,66.04411315917969,0.5159696340560913,0.915233850479126,1.8105475874108379e-06,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,14,pns.6,2048,2048,3,0.0002692326670512557,0.0002735203015618026,4.287634510546923e-06,4.76837158203125e-06,0.011827136389911175,test,0.0002688169479370117,0.0001421569031663239,0.0002874729980248958,0.0002874733407198229,128,65.8200454711914,0.5142191052436829,0.9999970197677612,2.1614400793623645e-06,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,0,15,convs.7,2048,2048,3,3.6241108318790793e-05,3.63265244232025e-05,8.541610441170633e-08,0.0,0.0024932001251727343,test,3.784894943237305e-05,1.7454354747314937e-05,1.1804257837866317e-06,5.9737444315939714e-05,3,2.95849609375,0.9861653645833334,0.1405690759420395,4.344714739090705e-07,
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,2400,1,convs.0,2048,2048,3,0.24996444582939148,0.3355017602443695,0.08553731441497803,0.11448174715042114,0.22305159270763397,test,0.29791080951690674,0.24955090880393982,0.3735102415084839,0.5092367732534044,128,53.98855972290039,0.4217856228351593,0.8482077121734619,0.0018164310604333878,0.9075018059597347
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,2400,2,pns.0,2048,2048,3,0.24716860055923462,0.34077322483062744,0.09360462427139282,0.12490493059158325,0.24647819995880127,test,0.29629045724868774,0.249550923705101,0.5092360377311707,0.5092367965531298,128,54.307029724121094,0.42427366971969604,0.9903997182846069,0.0024764840491116047,0.9075018059597347
RW-PubMed-H0.1-LOW,GraphSAGEScaleNorm,65,0,8,128,2400,3,convs.1,2048,2048,3,0.17291949689388275,0.3547295033931732,0.18181000649929047,0.22078371047973633,0.5998504757881165,test,0.2875910997390747,0.2672598958015442,0.13273240625858307,0.6253506992854064,128,16.234729766845703,0.12683382630348206,0.44124478101730347,0.0006797867827117443,0.9075018059597347
