dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,1,convs.0,2048,2048,3,0.1794954091310501,0.18418550491333008,0.004690095782279968,0.0059757232666015625,0.018054692074656487,test,0.18384402990341187,0.13779692351818085,0.03118717484176159,0.27384865714857504,128,121.48912048339844,0.9491337537765503,0.33686697483062744,0.00016651864279992878,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,2,pns.0,2048,2048,3,0.9822485446929932,1.0078777074813843,0.025629162788391113,1.4505176544189453,0.01701936312019825,test,0.9999306797981262,0.9401995539665222,0.03118717484176159,1.4631982225057514,128,121.36567687988281,0.9481693506240845,0.14157657325267792,0.00016651864279992878,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,3,convs.1,2048,2048,3,0.01018223911523819,0.010338766500353813,0.00015652738511562347,0.0001729130744934082,0.011119269765913486,test,0.010317981243133545,0.006388475187122822,0.00455124257132411,0.012841406503380033,128,112.47136688232422,0.878682553768158,0.5953031182289124,2.836369094438851e-05,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,4,pns.1,2048,2048,3,0.9868021011352539,1.004146933555603,0.01734483242034912,1.2868075370788574,0.011285717599093914,test,0.9986314177513123,0.9178436994552612,0.00455124257132411,1.253595050735248,128,112.15170288085938,0.8761851787567139,0.05801890045404434,2.836369094438851e-05,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,5,convs.2,2048,2048,3,0.0019098360789939761,0.0019291318021714687,1.929572317749262e-05,2.2232532501220703e-05,0.007668255362659693,test,0.0019489526748657227,0.0011044490383937955,0.0006768880411982536,0.002226348362654355,128,109.62488555908203,0.8564444184303284,0.5513898730278015,4.592715413309634e-06,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,6,pns.2,2048,2048,3,0.9897558689117432,1.0016733407974243,0.011917471885681152,1.1445086002349854,0.007689492776989937,test,0.9972748160362244,0.8992912769317627,0.0006768880411982536,1.1514294586022578,128,109.55360412597656,0.8558875322341919,0.023229585960507393,4.592715413309634e-06,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,7,convs.3,2048,2048,3,0.00031623680843040347,0.0003186119720339775,2.3751636035740376e-06,2.7418136596679688e-06,0.006039828062057495,test,0.0003114938735961914,0.00017201776790898293,0.0001038328482536599,0.00034719666772867826,128,108.15703582763672,0.8449768424034119,0.5468634963035583,7.55943403873971e-07,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,8,pns.3,2048,2048,3,0.9888078570365906,0.996797502040863,0.007989645004272461,0.7493834495544434,0.0049727484583854675,test,0.9944608211517334,0.8506237864494324,0.0001038328482536599,1.0730884386643293,128,108.0755844116211,0.8443405032157898,0.009346915408968925,7.559434607173898e-07,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,9,convs.4,2048,2048,3,4.863061258220114e-05,4.885123416897841e-05,2.2062158677726984e-07,2.980232238769531e-07,0.003985433839261532,test,4.792213439941406e-05,2.5119637939496897e-05,1.5947742213029414e-05,5.0793922890732646e-05,128,107.20421600341797,0.8375329375267029,0.5603296756744385,1.2068731791714526e-07,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,10,pns.4,2048,2048,3,0.9879754185676575,0.9951345324516296,0.007159113883972168,0.6422232985496521,0.004494341090321541,test,0.9925750494003296,0.8339889645576477,1.5947742213029414e-05,1.0323516410848297,128,107.20896911621094,0.837570071220398,0.003701225621625781,1.2068731791714526e-07,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,11,convs.5,2048,2048,3,7.282671504071914e-06,7.306642146431841e-06,2.3970642359927297e-08,0.0,0.003169074421748519,test,7.510185241699219e-06,3.5701439173863037e-06,2.4509645299986005e-06,7.183664945093139e-06,128,106.08658599853516,0.8288014531135559,0.5841111540794373,1.9531226413960212e-08,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,12,pns.5,2048,2048,3,0.9882140159606934,0.9934677481651306,0.005253732204437256,0.5013953447341919,0.0033848148304969072,test,0.9916452169418335,0.832409679889679,2.4509645299986005e-06,0.9803869959199109,128,106.18795776367188,0.8295934200286865,0.0014695948921144009,1.9531226413960212e-08,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,13,convs.6,2048,2048,3,1.2249190604052274e-06,1.2279532484171796e-06,3.0341880119522102e-09,-1.1920928955078125e-07,0.0028044399805366993,test,1.1920928955078125e-06,5.652005938827642e-07,3.9039005628183077e-07,1.1395322712789274e-06,128,104.45217895507812,0.8160326480865479,0.585310161113739,3.3547340461126396e-09,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,14,pns.6,2048,2048,3,0.9805766940116882,0.9841883778572083,0.0036116838455200195,0.23732757568359375,0.0024891505017876625,test,0.9861228466033936,0.7953796982765198,3.9039005628183077e-07,0.9091397621717219,128,105.26944732666016,0.8224175572395325,0.0005963465082459152,3.3547338240680347e-09,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,0,15,convs.7,2048,2048,3,1.793622175227938e-07,1.7976975641431636e-07,4.0753889152256306e-10,0.0,0.0019828418735414743,test,1.1920928955078125e-07,6.774171623646907e-08,1.6362351473730996e-09,1.736884507354771e-07,3,2.9296510219573975,0.9765503406524658,0.09705934673547745,7.570729598782577e-10,
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,2400,1,convs.0,2048,2048,3,0.8905609846115112,0.9101297855377197,0.019568800926208496,0.1847316026687622,0.013508506119251251,test,0.899283766746521,0.8121890425682068,9.68621861829888e-07,1.305838563083574,128,114.28404998779297,0.8928441405296326,0.0008210594533011317,5.3028696989088075e-09,0.0002654794625329747
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,2400,2,pns.0,2048,2048,3,0.9851677417755127,1.0059105157852173,0.02074277400970459,1.3885849714279175,0.013223215006291866,test,0.999845027923584,0.9418038725852966,9.68621861829888e-07,1.4270309019345113,128,114.30748748779297,0.8930272459983826,0.0007817590376362205,5.3028696989088075e-09,0.0002654794625329747
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,2400,3,convs.1,2048,2048,3,1.560267628519796e-05,1.576790054969024e-05,1.6522426449228078e-07,2.384185791015625e-07,0.008138150908052921,test,1.4603137969970703e-05,9.262085768568795e-06,8.544070941203519e-13,1.8551306156670537e-05,128,70.47738647460938,0.5506045818328857,0.0002146076294593513,5.259590946636323e-15,0.0002654794625329747
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,2400,4,pns.1,2048,2048,3,0.9804905652999878,0.9948586225509644,0.014368057250976562,0.7716181874275208,0.008027177304029465,test,0.9885290265083313,0.9011847376823425,8.544070941203519e-13,0.8544070975343941,128,71.3882064819336,0.5577203631401062,7.137737156881485e-07,5.259590946636323e-15,0.0002654794625329747
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,2400,5,convs.2,2048,2048,3,0.0,0.0,0.0,0.0,2.321257306903135e-05,test,0.0,0.0,4.681564127569166e-19,1.9099248605885642e-13,128,49.8945426940918,0.38980111479759216,0.0015656235627830029,3.297237241277268e-21,0.0002654794625329747
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,2400,6,pns.2,2048,2048,3,0.1639372855424881,0.1648942083120346,0.0009569227695465088,0.0014126896858215332,3.3466560580563964e-06,test,0.18115735054016113,0.11539115756750107,4.681564127569166e-19,4.681564146275773e-07,128,53.52045440673828,0.4181285500526428,1.3524842357170996e-09,3.1505092138803556e-21,0.0002654794625329747
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,2400,7,convs.3,2048,2048,3,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,1.1920928955078125e-07,1.0003040188166779e-05,test,-1.1920928955078125e-07,-1.1920928955078125e-07,1.6158861614795175e-25,4.884033920309414e-18,128,1.2175452709197998,0.009512072429060936,0.00018189300317317247,1.0941631718651652e-27,0.0002654794625329747
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,2400,8,pns.3,2048,2048,3,7.639196155651007e-06,7.67570236348547e-06,3.6506207834463567e-08,0.0,1.2205413546170774e-12,test,7.62939453125e-06,4.639474809664534e-06,1.6158861614795175e-25,1.61588616793628e-13,128,22.808513641357422,0.17819151282310486,1.3185220970601819e-10,1.0933662220541778e-27,0.0002654794625329747
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,2400,9,convs.4,2048,2048,3,0.0,0.0,0.0,0.0,7.043587538646534e-05,test,0.0,0.0,1.416405570353821e-31,1.146820580266839e-24,128,1.0,0.0078125,0.0003514358540996909,8.066583863388245e-34,0.0002654794625329747
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,2400,10,pns.4,2048,2048,3,0.0,0.0,0.0,0.0,1.461341110708644e-18,test,0.0,0.0,1.416405570353821e-31,1.4164055760134983e-19,128,0.0,0.0,2.784955321910587e-10,8.056788689368033e-34,0.0002654794625329747
RW-PubMed-H0.1-LOW,GraphSAGECenterNorm,29,0,8,128,2400,11,convs.5,2048,2048,3,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0,0.00010590410965960473,test,1.1920928955078125e-07,1.1920928955078125e-07,3.1030980975720767e-38,9.283558202937703e-32,128,1.0,0.0078125,0.0005781500367447734,2.456504233930691e-40,0.0002654794625329747
