dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-Roman-empire-H0.9-LOW,GraphSAGECenterNorm,47,0,8,128,0,1,convs.0,2048,2048,18,0.4462966322898865,0.5899268984794617,0.1436302661895752,0.24203580617904663,0.42132532596588135,test,0.5884273052215576,0.45575961470603943,0.7449933886528015,0.9471163864600611,128,95.54269409179688,0.7464272975921631,0.8107435703277588,0.0041317567229270935,
RW-Roman-empire-H0.9-LOW,GraphSAGECenterNorm,47,0,8,128,0,2,pns.0,2048,2048,18,0.6613059043884277,0.9449078440666199,0.28360193967819214,0.7903448343276978,0.4077008366584778,test,0.973601758480072,0.6913195252418518,0.7449933886528015,1.4086647843017392,128,95.7809829711914,0.7482889294624329,0.6564878225326538,0.0041317567229270935,
RW-Roman-empire-H0.9-LOW,GraphSAGECenterNorm,47,0,8,128,0,3,convs.1,2048,2048,18,0.11176478117704391,0.16473352909088135,0.05296874791383743,0.060797691345214844,0.44548341631889343,test,0.18144989013671875,0.11624997854232788,0.12359951436519623,0.268847120777385,128,93.68785095214844,0.7319363355636597,0.6716327667236328,0.0007470487616956234,
RW-Roman-empire-H0.9-LOW,GraphSAGECenterNorm,47,0,8,128,0,4,pns.1,2048,2048,18,0.6621643900871277,0.9470884203910828,0.2849240303039551,0.8086013793945312,0.4086116850376129,test,0.9755365252494812,0.6653205752372742,0.12359951436519623,1.2925812282806874,128,94.20722961425781,0.7359939813613892,0.28328076004981995,0.0007470487616956234,
RW-Roman-empire-H0.9-LOW,GraphSAGECenterNorm,47,0,8,128,0,5,convs.2,2048,2048,18,0.03185565769672394,0.04649865999817848,0.014643002301454544,0.015431106090545654,0.4443945586681366,test,0.049777448177337646,0.02961033210158348,0.022650549188256264,0.06303202160497026,128,94.26802825927734,0.7364689707756042,0.5988510251045227,0.00014714966528117657,
RW-Roman-empire-H0.9-LOW,GraphSAGECenterNorm,47,0,8,128,0,6,pns.2,2048,2048,18,0.669152021408081,0.9477896094322205,0.2786375880241394,0.8090937733650208,0.4281042218208313,test,0.971710205078125,0.6436735391616821,0.022650549188256264,1.2025676898060305,128,94.37772369384766,0.7373259663581848,0.1251799315214157,0.00014714966528117657,
RW-Roman-empire-H0.9-LOW,GraphSAGECenterNorm,47,0,8,128,0,7,convs.3,2048,2048,18,0.006449182517826557,0.009986364282667637,0.0035371817648410797,0.0036202073097229004,0.5293347835540771,test,0.01080697774887085,0.00574479391798377,0.0044006346724927425,0.011965958132905697,128,91.55406188964844,0.7152661085128784,0.6063348650932312,3.2361251214751974e-05,
RW-Roman-empire-H0.9-LOW,GraphSAGECenterNorm,47,0,8,128,0,8,pns.3,2048,2048,18,0.6399072408676147,0.9366278052330017,0.29672056436538696,0.810072660446167,0.48576098680496216,test,0.9660353064537048,0.5927556157112122,0.0044006346724927425,1.0623803804958365,128,91.30782318115234,0.7133423686027527,0.05750219523906708,3.236125485273078e-05,
RW-Roman-empire-H0.9-LOW,GraphSAGECenterNorm,47,0,8,128,0,9,convs.4,2048,2048,18,0.0018106792122125626,0.002804864663630724,0.0009941854514181614,0.0010120272636413574,0.5283878445625305,test,0.0025684237480163574,0.0012684296816587448,0.0008530182531103492,0.0025757641559051975,128,90.09838104248047,0.7038936018943787,0.5754684209823608,6.986456355662085e-06,
RW-Roman-empire-H0.9-LOW,GraphSAGECenterNorm,47,0,8,128,0,10,pns.4,2048,2048,18,0.6166307330131531,0.9242095947265625,0.3075788617134094,0.797209620475769,0.5611022114753723,test,0.9461432099342346,0.560666024684906,0.0008530182531103492,0.9538748634740533,128,91.08851623535156,0.7116290330886841,0.026012925431132317,6.986456355662085e-06,
