dataset,variant,model,graph_seed,init_seed,test_best,source
PubMed,baseline,GraphSAGE,1,11,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,1,29,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,1,47,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,1,65,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,1,83,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,2,11,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,2,29,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,2,47,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,2,65,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,2,83,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,3,11,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,3,29,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,3,47,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,3,65,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,3,83,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,4,11,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,4,29,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,4,47,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,4,65,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,4,83,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,5,11,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,5,29,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,5,47,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,5,65,0.399367481470108,clean_graph_init_factorial
PubMed,baseline,GraphSAGE,5,83,0.399367481470108,clean_graph_init_factorial
PubMed,center,GraphSAGECenterNorm,1,11,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,1,29,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,1,47,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,1,65,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,1,83,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,2,11,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,2,29,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,2,47,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,2,65,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,2,83,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,3,11,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,3,29,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,3,47,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,3,65,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,3,83,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,4,11,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,4,29,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,4,47,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,4,65,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,4,83,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,5,11,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,5,29,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,5,47,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,5,65,0.39936748147010803,component_ablation_v2
PubMed,center,GraphSAGECenterNorm,5,83,0.39936748147010803,component_ablation_v2
PubMed,full,GraphSAGEPairNorm,1,11,0.8294647336006165,clean_graph_init_factorial
