dataset,comparison,left,right,effect_pp,cell_sd_pp,positive_cells,n_cells,positive_graph_means,n_graphs,positive_init_means,n_inits,graph_bootstrap_ci_low_pp,graph_bootstrap_ci_high_pp,graph_signflip_p
PubMed,center_minus_baseline,center,baseline,5.551115123125783e-15,0.0,25,25,5,5,5,5,5.551115123125783e-15,5.551115123125783e-15,1.0
PubMed,scale_minus_baseline,scale,baseline,40.88453972339631,0.9971788627040142,25,25,5,5,5,5,40.24488317966462,41.45545709133149,0.0625
PubMed,full_minus_baseline,full,baseline,43.342442631721504,0.5210699425111102,25,25,5,5,5,5,42.977027297019966,43.71143829822542,0.0625
PubMed,full_minus_center,full,center,43.3424426317215,0.52106994251111,25,25,5,5,5,5,42.97702729701996,43.711438298225396,0.0625
PubMed,full_minus_scale,full,scale,2.4579029083251953,0.9191342799268502,25,25,5,5,5,5,2.094395637512207,2.836207628250122,0.0625
PubMed,center_minus_scale,center,scale,-40.8845397233963,0.9971788627040142,0,25,0,5,0,5,-41.45545709133148,-40.24488317966461,0.0625
Roman-Empire,center_minus_baseline,center,baseline,-0.15407705307006792,0.3731654376975334,11,25,0,5,2,5,-0.25188159942627086,-0.06437134742736594,0.0625
Roman-Empire,scale_minus_baseline,scale,baseline,-0.5245282649993892,0.4361454123633248,3,25,0,5,0,5,-0.7809791564941405,-0.2680773735046378,0.0625
Roman-Empire,full_minus_baseline,full,baseline,-0.16798973083496316,0.34670070947450343,8,25,1,5,1,5,-0.3199908733367938,-0.01598858833313255,0.1875
Roman-Empire,full_minus_center,full,center,-0.013912677764895241,0.39926204143352984,14,25,2,5,2,5,-0.19664645195007546,0.1563618183135946,0.9375
Roman-Empire,full_minus_scale,full,scale,0.35653853416442605,0.30750433847480646,22,25,5,5,5,5,0.2302858829498264,0.4827911853790256,0.0625
Roman-Empire,center_minus_scale,center,scale,0.3704512119293213,0.5031345421314287,17,25,4,5,4,5,0.0975959300994873,0.6603329181671141,0.125
