dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,class_metric_scope,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
Roman-empire,GraphSAGE,1,6,8,128,1,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.49702179431915283,0.43004149198532104,0.6702104210853577,1.0194956263090766,128,97.26631164550781,0.7598930597305298,0.7658522129058838,0.0029985273722559214,0.2637750197986025
Roman-empire,GraphSAGE,1,6,8,128,1,2,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.10064983367919922,0.0791739821434021,0.1079547256231308,0.18119614301609716,128,89.86067962646484,0.7020365595817566,0.766118586063385,0.0005596469854936004,0.2637750197986025
Roman-empire,GraphSAGE,1,6,8,128,1,3,convs.2,2048,0,0,,nan,nan,nan,nan,nan,0.021663665771484375,0.015209131874144077,0.02479291893541813,0.033084317609361556,128,79.01407623291016,0.6172974705696106,0.8642922043800354,0.0001482756924815476,0.2637750197986025
Roman-empire,GraphSAGE,1,6,8,128,1,4,convs.3,2048,0,0,,nan,nan,nan,nan,nan,0.004761636257171631,0.002347260247915983,0.00482920603826642,0.00516631606171015,128,65.2117691040039,0.5094669461250305,0.9661861658096313,4.434685251908377e-05,0.2637750197986025
Roman-empire,GraphSAGE,1,6,8,128,1,5,convs.4,2048,0,0,,nan,nan,nan,nan,nan,0.000914454460144043,0.00036013085627928376,0.0009368812316097319,0.000861139408661639,128,51.593570709228516,0.4030747711658478,1.0427157878875732,1.3270136150822509e-05,0.2637750197986025
Roman-empire,GraphSAGE,1,6,8,128,1,6,convs.5,2048,0,0,,nan,nan,nan,nan,nan,0.00024712085723876953,6.653894524788484e-05,0.00031354030943475664,0.00019961416557855066,128,38.95400619506836,0.30432817339897156,1.253029227256775,8.10195615486009e-06,0.2637750197986025
Roman-empire,GraphSAGE,1,6,8,128,1,7,convs.6,2048,0,0,,nan,nan,nan,nan,nan,0.00011330842971801758,1.8685785107663833e-05,0.00012462986342143267,7.536186187341419e-05,128,22.54848861694336,0.17616006731987,1.285804271697998,5.127357781020692e-06,0.2637750197986025
Roman-empire,GraphSAGE,1,6,8,128,1,8,convs.7,2048,0,0,,nan,nan,nan,nan,nan,4.3511390686035156e-05,3.645013975983602e-06,2.431278335279785e-05,3.930408852961703e-05,18,3.295949935913086,0.18310832977294922,0.7863947749137878,1.0597799700917676e-05,0.2637750197986025
Roman-empire,GraphSAGE,1,6,8,128,10,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.15101569890975952,0.11290574073791504,0.6313108801841736,0.32775731837844213,128,71.48017883300781,0.5584388971328735,1.2998818159103394,0.0038590217009186745,0.2842773928116345
Roman-empire,GraphSAGE,1,6,8,128,10,2,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.062461912631988525,0.034957896918058395,0.025881661102175713,0.09068604045263427,128,54.74638366699219,0.42770612239837646,0.5301821827888489,0.0001860755728557706,0.2842773928116345
