model,num_layers,seed,split_idx,best_epoch,best_val_acc,test_acc_at_best_val
GraphSAGEPairNorm,4,1,0,732,0.783053839364519,0.776738439816449
GraphSAGEPairNorm,4,1,1,755,0.7920564872021183,0.7823861630780091
GraphSAGEPairNorm,4,1,2,702,0.7825242718446602,0.7815037063183904
GraphSAGEPairNorm,4,1,3,762,0.78693733451015,0.7721496646664313
GraphSAGEPairNorm,4,1,4,723,0.7837599293909974,0.7740910695375927
GraphSAGEPairNorm,4,1,5,762,0.7834068843777582,0.7890928344511119
GraphSAGEPairNorm,4,1,6,791,0.7853486319505737,0.7807977409106954
GraphSAGEPairNorm,4,1,7,785,0.7846425419240953,0.7862689728203318
GraphSAGEPairNorm,4,1,8,714,0.7853486319505737,0.7830921284857042
GraphSAGEPairNorm,4,1,9,738,0.793468667255075,0.7740910695375927
GraphSAGEPairNorm,8,1,0,767,0.7514563106796116,0.755735968937522
GraphSAGEPairNorm,8,1,1,796,0.7724624889673434,0.7613836921990822
GraphSAGEPairNorm,8,1,2,755,0.751279788172992,0.7500882456759619
GraphSAGEPairNorm,8,1,3,800,0.7571050308914387,0.7437345570067067
GraphSAGEPairNorm,8,1,4,773,0.7565754633715799,0.7462054359336393
GraphSAGEPairNorm,8,1,5,748,0.7525154457193293,0.754324038122132
GraphSAGEPairNorm,8,1,6,676,0.7604589585172109,0.7562654429932933
GraphSAGEPairNorm,8,1,7,790,0.7752868490732568,0.7707377338510413
GraphSAGEPairNorm,8,1,8,562,0.7488084730803177,0.7499117543240381
GraphSAGEPairNorm,8,1,9,672,0.7556928508384819,0.7467349099894105
GraphSAGE,4,1,0,282,0.8022947925860547,0.7959759971761383
GraphSAGE,4,1,1,418,0.8134157105030891,0.8010942463819273
GraphSAGE,4,1,2,352,0.8026478375992939,0.7982703847511472
GraphSAGE,4,1,3,521,0.8093556928508385,0.8000352982703848
GraphSAGE,4,1,4,294,0.8079435127978817,0.7977409106953759
GraphSAGE,4,1,5,280,0.8058252427184466,0.8108012707377339
GraphSAGE,4,1,6,491,0.8091791703442189,0.7995058242146135
GraphSAGE,4,1,7,262,0.8077669902912621,0.8056830215319449
GraphSAGE,4,1,8,299,0.8074139452780229,0.8023296858453935
GraphSAGE,4,1,9,321,0.8010591350397176,0.7887398517472644
GraphSAGE,8,1,0,770,0.8028243601059135,0.7970349452876809
GraphSAGE,8,1,1,770,0.8038834951456311,0.7977409106953759
GraphSAGE,8,1,2,798,0.8105913503971757,0.801270737733851
GraphSAGE,8,1,3,795,0.7964695498676081,0.7871514295799505
GraphSAGE,8,1,4,777,0.8060017652250662,0.7982703847511472
GraphSAGE,8,1,5,797,0.8026478375992939,0.7993293328626897
GraphSAGE,8,1,6,800,0.7991173874669021,0.7979174020472997
GraphSAGE,8,1,7,780,0.8104148278905561,0.7991528415107659
GraphSAGE,8,1,8,738,0.7883495145631068,0.7924461701376633
GraphSAGE,8,1,9,757,0.790467784642542,0.7961524885280621
