dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,class_metric_scope,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm,selected_representation,source_file,best_epoch,test_acc_at_best_val,metric_epoch_gap
Roman-empire,GraphSAGEPairNorm,1,0,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9955064058303832,0.997486412525177,2.029948472976685,1.871152290239526,128,17.758134841918945,0.1387354284524917,0.9999982714653016,0.0084755113348364,0.2612854719329069,pns.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L4_H128_seed1_split0_oversmoothing.csv,732,0.776738439816449,132
Roman-empire,GraphSAGEPairNorm,1,1,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9962422251701356,1.0006136894226074,2.035353422164917,1.884942830545958,128,17.9515380859375,0.1402463912963867,0.9999983906745912,0.0084359049797058,0.3350510065700239,pns.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L4_H128_seed1_split1_oversmoothing.csv,755,0.7823861630780091,155
Roman-empire,GraphSAGEPairNorm,1,2,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9959532618522644,1.0007299184799194,2.0479540824890137,1.890230843948505,128,17.878158569335938,0.139673113822937,0.9999982714653016,0.0084643848240375,0.292979776903234,pns.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L4_H128_seed1_split2_oversmoothing.csv,702,0.7815037063183904,102
Roman-empire,GraphSAGEPairNorm,1,3,4,128,600,6,pns.2,2048,0,0,,,,,,,0.996051013469696,0.9908722043037416,2.021517753601074,1.8623030495249224,128,17.633281707763672,0.1377600133419037,0.9999982714653016,0.0084804175421595,0.3011493408577918,pns.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L4_H128_seed1_split3_oversmoothing.csv,762,0.7721496646664313,162
Roman-empire,GraphSAGEPairNorm,1,4,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9947627186775208,1.0006721019744873,2.059020757675171,1.9110814683058088,128,17.812711715698242,0.1391618102788925,0.9999982714653016,0.0084172748029232,0.3686905966431553,pns.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L4_H128_seed1_split4_oversmoothing.csv,723,0.7740910695375927,123
Roman-empire,GraphSAGEPairNorm,1,5,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9958287477493286,0.9948031902313232,2.017376661300659,1.865844296269002,128,17.849910736083984,0.1394524276256561,0.9999983906745912,0.0084469821304082,0.283750733456885,pns.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L4_H128_seed1_split5_oversmoothing.csv,762,0.7890928344511119,162
Roman-empire,GraphSAGEPairNorm,1,6,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9959240555763244,0.9812096953392028,1.9920830726623533,1.834559259835416,128,17.725778579711914,0.1384826451539993,0.9999983906745912,0.0084833167493343,0.2683526643251137,pns.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L4_H128_seed1_split6_oversmoothing.csv,791,0.7807977409106954,191
Roman-empire,GraphSAGEPairNorm,1,7,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9962247610092164,0.9979649782180786,2.036179304122925,1.8827453342263143,128,18.048555374145508,0.1410043388605117,0.9999982714653016,0.0084491791203618,0.2654481325589321,pns.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L4_H128_seed1_split7_oversmoothing.csv,785,0.7862689728203318,185
Roman-empire,GraphSAGEPairNorm,1,8,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9956942796707152,1.0010920763015747,2.035876750946045,1.8794837997677687,128,17.627229690551758,0.1377127319574356,0.9999982118606568,0.008462581783533,0.2541903630564883,pns.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L4_H128_seed1_split8_oversmoothing.csv,714,0.7830921284857042,114
Roman-empire,GraphSAGEPairNorm,1,9,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9957229495048524,0.9945904016494752,2.017075061798096,1.8548854041409977,128,18.14643669128418,0.1417690366506576,0.9999982714653016,0.0084956185892224,0.3141080289583984,pns.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L4_H128_seed1_split9_oversmoothing.csv,738,0.7740910695375927,138
