model,num_layers,epoch,selected_representation,mean_mean_pairwise_cosine_distance,std_mean_pairwise_cosine_distance,mean_mean_edge_cosine_distance,std_mean_edge_cosine_distance,mean_normalized_dirichlet_energy,std_normalized_dirichlet_energy,mean_effective_rank,std_effective_rank,mean_effective_rank_ratio,std_effective_rank_ratio,mean_mean_embedding_norm,std_mean_embedding_norm,mean_mean_feature_variance,std_mean_feature_variance,mean_gradient_norm,std_gradient_norm
GraphSAGE,4,1,convs.2,0.02358610630035394,0.0002876910108987871,0.01704185623675582,0.000252132158282705,0.044702406089430116,0.0007136802254553504,63.73194580078125,0.2951669576891228,0.4979058265686035,0.0023059918569462968,1.2475193738937378,0.004911636328411888,0.00055241268710228,1.1128327010686214e-05,0.27191993854036245,0.0003553993435545842
GraphSAGE,4,10,convs.2,0.29741753339767457,0.01098469135034711,0.4151531159877777,0.015015262079245272,1.3775890601895844,0.03439538648306837,6.466561317443848,0.07802740774952593,0.05052001029253002,0.0006095891230431721,5.113915681838989,0.04865864836227504,0.2021140992641449,0.00439592854631112,0.5825531362641334,0.019990694287490077
GraphSAGE,4,25,convs.2,0.6787168204784393,0.008934825869182926,0.8186877071857452,0.007642141829284662,2.082910093131587,0.01566418013561078,7.905627965927124,0.13459161469415462,0.06176271848380562,0.0010514969897980828,9.608143138885499,0.15357291160032932,0.8254030466079711,0.027655761208561253,0.21502677897804728,0.019479524866562556
GraphSAGE,4,50,convs.2,0.7927229344844818,0.012724683269288535,0.8316563367843628,0.01264926590819778,1.8951544655679062,0.030960912784808666,10.242551898956298,0.18134012931469007,0.08001993671059603,0.0014167197602710211,11.467100143432617,0.1536136942767773,1.058289074897766,0.03670714319039839,0.15418948492689347,0.010643900473318119
GraphSAGE,4,100,convs.2,0.8440925002098083,0.00836961843717123,0.8823850810527801,0.010185350659635209,1.8456141577518033,0.02366887515553933,11.252550601959229,0.26758293074570777,0.08791055157780645,0.0020904916464508402,11.774644470214843,0.3287517636608233,1.109625482559204,0.06752483806850111,0.20171440256453885,0.03382504904933661
GraphSAGE,4,200,convs.2,0.8142086029052734,0.012957903747030436,0.8483535945415497,0.0136957936596304,1.7359800753390082,0.02595231212570766,11.387250995635986,0.23524146166641388,0.0889628984034061,0.001837823919268863,9.91674518585205,0.1510270246160336,0.7701716303825379,0.026642675486256664,0.3176728518768669,0.05744117444887249
GraphSAGE,4,400,convs.2,0.7619246006011963,0.009332781586834173,0.7951404273509979,0.010332680705334935,1.6235458920477885,0.026376921042305036,10.732028198242187,0.24115966209497466,0.08384397029876703,0.001884059860116992,8.411618328094482,0.1733948712339994,0.5460222661495209,0.02912434065332375,0.37063271655591645,0.06764424874725382
GraphSAGE,4,600,convs.2,0.7265449583530426,0.0070286031438583,0.751422792673111,0.008705972357206253,1.5480648250618776,0.018704336268762025,10.367620277404786,0.19963426254698874,0.08099703341722486,0.0015596426761483463,8.127966070175171,0.2807251276619739,0.5050316035747529,0.039471717527591356,0.3608628393399617,0.04041124552990415
GraphSAGE,4,800,convs.2,0.6960822820663453,0.014701522785708375,0.723999297618866,0.014298288950342842,1.4967116394530444,0.027783922602835322,9.688348007202148,0.22847935845037926,0.07569021880626675,0.0017849949878936014,8.169610357284546,0.3240682069890706,0.5028896242380142,0.05031556491792222,0.36212149626086,0.03392632652553688
GraphSAGEPairNorm,4,1,pns.2,0.9550616621971131,0.0014129992860227405,0.7013553738594055,0.006037762877004395,1.4827081419580903,0.021475261186710285,77.22103805541992,0.3336570867912271,0.6032893598079682,0.0026066959905564615,0.9999959051609038,4.023006903641265e-08,0.009907899331301411,5.445779062761081e-05,0.22291192016888436,0.00039865814413094555
