model,num_layers,hidden_channels,learning_rate,n,mean_best_val_acc,std_best_val_acc,mean_test_at_best_val,std_test_at_best_val,mean_final_test_acc,std_final_test_acc,mean_best_epoch,std_best_epoch,best_epoch_at_cap_count,best_epoch_last_10_percent_count
GraphSAGE,4,128,0.0003,10,0.3696514423076923,0.00899191456256179,0.3562920268972142,0.017511726354318045,0.32516810758885684,0.012969287960985358,97.0,13.581032524975575,0,0
GraphSAGE,4,128,0.001,10,0.3659855769230769,0.009485128687301028,0.35331412103746396,0.018598366846549894,0.323342939481268,0.017966892429786784,40.5,7.121953539740498,0,0
GraphSAGE,4,128,0.003,10,0.3645432692307692,0.006608755576597071,0.3463016330451489,0.017428387013350317,0.33006724303554275,0.01749854764024155,151.4,282.88874923624024,0,1
GraphSAGE,4,128,0.005,10,0.36213942307692304,0.009695181706573179,0.35062439961575403,0.013069696850437754,0.33323727185398655,0.01960036085250912,114.1,215.20143018938225,0,0
GraphSAGE,4,128,0.01,10,0.3602764423076923,0.0058282598261122495,0.34562920268972136,0.014852815405853044,0.3504322766570605,0.018247748310924197,520.7,292.75171505333094,0,3
GraphSAGE,4,128,0.03,10,0.37217548076923074,0.008351467648604267,0.354178674351585,0.014255773827824838,0.3490874159462055,0.019614741067299955,454.1,167.10971113479778,0,0
GraphSAGEPairNorm,4,128,0.0003,10,0.3465745192307692,0.010366659118103425,0.3419788664745437,0.010385702683462625,0.27243035542747357,0.010148021245912985,50.2,4.779586221049312,0,0
GraphSAGEPairNorm,4,128,0.001,10,0.3490985576923077,0.013634897779931524,0.34678194044188276,0.011110695851999641,0.2780979827089337,0.014170651049221153,19.3,2.110818693198341,0,0
GraphSAGEPairNorm,4,128,0.003,10,0.34717548076923077,0.010865610638391133,0.33525456292026895,0.02140349019157016,0.31200768491834774,0.015841570631398086,55.9,149.01860435678643,0,0
GraphSAGEPairNorm,4,128,0.005,10,0.34819711538461534,0.010899350557666073,0.33285302593659943,0.0213279079997462,0.3152737752161383,0.014734994562282729,191.9,271.0221188185365,0,1
GraphSAGEPairNorm,4,128,0.01,10,0.34927884615384613,0.005557224642435812,0.3299711815561959,0.01929350963688966,0.3230547550432276,0.018243533693392107,299.6,290.6369250838961,0,1
GraphSAGEPairNorm,4,128,0.03,10,0.35937499999999994,0.004971824377400188,0.34322766570605184,0.013456609850768285,0.34015369836695486,0.01805938779461994,550.2,173.643824473483,0,1
GraphSAGE,8,128,0.0003,10,0.30919471153846156,0.0039787708465627404,0.3009606147934678,0.013509840319075069,0.2896253602305475,0.011431360888808079,105.4,72.42651448192161,0,0
GraphSAGE,8,128,0.001,10,0.31243990384615383,0.007661834086139393,0.3022094140249759,0.013944180283076181,0.3007684918347742,0.018053709455970398,251.7,306.37560462789963,0,2
GraphSAGE,8,128,0.003,10,0.3368389423076923,0.011431440615043094,0.32593659942363107,0.013124887262496698,0.3237271853986551,0.011615982803212958,497.5,308.7574560503222,0,4
GraphSAGE,8,128,0.005,10,0.30462740384615383,0.0054156975739458185,0.30307396733909703,0.007648140193721546,0.3038424591738712,0.0073024979319966585,129.2,208.03247609714958,0,0
GraphSAGE,8,128,0.01,10,0.3368990384615384,0.03074668645253746,0.328626320845341,0.023114493706930403,0.32756964457252635,0.02264643574778985,377.1,338.7737527547781,0,2
GraphSAGE,8,128,0.03,10,0.3227764423076923,0.021946664128583725,0.31325648414985585,0.014012030221518852,0.3111431316042267,0.014725597798258435,286.4,339.78790770453,0,2
GraphSAGEPairNorm,8,128,0.0003,10,0.33389423076923075,0.004708171328661098,0.3268011527377521,0.011264662026279855,0.2165225744476465,0.015122353781000766,46.5,5.461989869391313,0,0
GraphSAGEPairNorm,8,128,0.001,10,0.33365384615384613,0.00508198572770082,0.32756964457252635,0.010782874313469564,0.2636887608069164,0.020569272915815437,18.9,2.6012817353502227,0,0
GraphSAGEPairNorm,8,128,0.003,10,0.32944711538461535,0.004921528890729771,0.3226705091258405,0.01936882547110571,0.30864553314121035,0.015647835434728582,214.8,331.9487242866819,0,1
GraphSAGEPairNorm,8,128,0.005,10,0.33082932692307687,0.004884288998492233,0.318059558117195,0.01761098011577894,0.31998078770413063,0.013753537983849692,480.4,347.7400689531702,1,4
GraphSAGEPairNorm,8,128,0.01,10,0.3379807692307692,0.007474935174276199,0.32449567723342937,0.017895989770747578,0.32190201729106627,0.021539345801189765,413.5,271.5863889569333,0,1
GraphSAGEPairNorm,8,128,0.03,10,0.35486778846153844,0.00914150978293643,0.33429394812680113,0.013379815828226827,0.3338136407300672,0.01629745588288892,411.3,266.181663113329,0,1
