model,num_layers,seed,split_idx,best_epoch,best_val_acc,test_acc_at_best_val
GraphSAGEPairNorm,4,1,0,725,0.3557692307692308,0.3554274735830932
GraphSAGEPairNorm,4,1,1,400,0.3635817307692308,0.3352545629202689
GraphSAGEPairNorm,4,1,2,605,0.3569711538461538,0.3246878001921229
GraphSAGEPairNorm,4,1,3,356,0.3659855769230769,0.3611911623439001
GraphSAGEPairNorm,4,1,4,673,0.3671875,0.3419788664745437
GraphSAGEPairNorm,4,1,5,688,0.3563701923076923,0.3400576368876081
GraphSAGEPairNorm,4,1,6,610,0.3719951923076923,0.3208453410182517
GraphSAGEPairNorm,4,1,7,652,0.359375,0.356388088376561
GraphSAGEPairNorm,4,1,8,633,0.3587740384615384,0.3275696445725264
GraphSAGEPairNorm,4,1,9,297,0.3539663461538461,0.3371757925072046
GraphSAGEPairNorm,8,1,0,85,0.3479567307692308,0.3362151777137367
GraphSAGEPairNorm,8,1,1,33,0.3659855769230769,0.3400576368876081
GraphSAGEPairNorm,8,1,2,530,0.3587740384615384,0.3160422670509126
GraphSAGEPairNorm,8,1,3,275,0.3461538461538461,0.3477425552353506
GraphSAGEPairNorm,8,1,4,238,0.3467548076923077,0.3400576368876081
GraphSAGEPairNorm,8,1,5,55,0.3599759615384615,0.3525456292026897
GraphSAGEPairNorm,8,1,6,509,0.3533653846153846,0.3237271853986551
GraphSAGEPairNorm,8,1,7,88,0.3653846153846153,0.3362151777137367
GraphSAGEPairNorm,8,1,8,117,0.3395432692307692,0.3131604226705091
GraphSAGEPairNorm,8,1,9,667,0.3533653846153846,0.3227665706051873
GraphSAGE,4,1,0,294,0.3677884615384615,0.356388088376561
GraphSAGE,4,1,1,202,0.3725961538461538,0.3515850144092219
GraphSAGE,4,1,2,576,0.3689903846153846,0.356388088376561
GraphSAGE,4,1,3,469,0.3743990384615384,0.3573487031700288
GraphSAGE,4,1,4,684,0.3677884615384615,0.3544668587896253
GraphSAGE,4,1,5,756,0.3683894230769231,0.3410182516810759
GraphSAGE,4,1,6,395,0.3816105769230769,0.3573487031700288
GraphSAGE,4,1,7,447,0.3804086538461538,0.366954851104707
GraphSAGE,4,1,8,375,0.3713942307692308,0.3611911623439001
GraphSAGE,4,1,9,153,0.3659855769230769,0.3275696445725264
GraphSAGE,8,1,0,445,0.3275240384615384,0.3237271853986551
GraphSAGE,8,1,1,516,0.3082932692307692,0.3121998078770413
GraphSAGE,8,1,2,42,0.3485576923076923,0.3352545629202689
GraphSAGE,8,1,3,98,0.3275240384615384,0.3371757925072046
GraphSAGE,8,1,4,48,0.3257211538461538,0.3246878001921229
GraphSAGE,8,1,5,623,0.3431490384615384,0.3045148895292987
GraphSAGE,8,1,6,48,0.3473557692307692,0.3246878001921229
GraphSAGE,8,1,7,7,0.3028846153846153,0.3016330451488953
GraphSAGE,8,1,8,600,0.3461538461538461,0.3323727185398655
GraphSAGE,8,1,9,8,0.3088942307692308,0.2939481268011527
