num_layers,metric,baseline_mean,pairnorm_mean,n_pairs,mean_difference,std_difference,median_difference,minimum_difference,maximum_difference,positive_pairs,negative_pairs,zero_pairs,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue
4,mean_pairwise_cosine_distance,0.8480323255062103,0.9911993563175201,10,0.14316703081130983,0.02036480789998293,0.14376786351203913,0.11279881000518788,0.17351007461547852,10,0,0,0.12859892484093113,0.15773513678168852,3.565660827263469e-09,0.001953125,0.001953125,7.030119386072374,2.1393964963580814e-08,0.015625,0.015625
4,mean_edge_cosine_distance,0.7493988037109375,0.9711065232753754,10,0.2217077195644379,0.024961194649399394,0.22371754050254827,0.1785140037536621,0.2641291618347167,10,0,0,0.20385155659027085,0.23956388253860497,4.467624980422907e-10,0.001953125,0.001953125,8.882095696079697,3.127337486296035e-09,0.015625,0.015625
4,normalized_dirichlet_energy,0.7121804895896211,1.2491018110181746,10,0.5369213214285538,0.10502200489414418,0.5568230214455676,0.35645495238098235,0.7341933486904697,10,0,0,0.4617931049467865,0.612049537910321,5.875386320789379e-08,0.001953125,0.001953125,5.112464973123851,2.3501545283157517e-07,0.015625,0.015625
4,effective_rank,17.428667640686037,13.920327377319335,10,-3.508340263366699,1.86834946969181,-3.1804380416870117,-6.547675132751465,0.06592941284179688,1,9,0,-4.844876959310389,-2.17180356742301,0.00021853972550084906,0.00390625,0.00390625,-1.877775180863466,0.0004370794510016934,0.015625,0.015625
4,effective_rank_ratio,0.1361614659428596,0.10875255763530726,10,-0.027408908307552337,0.014596480231967246,-0.024847172200679793,-0.05115371197462079,0.0005150735378264965,1,9,0,-0.0378506012446124,-0.01696721537049228,0.0002185397255008467,0.00390625,0.00390625,-1.8777751808634684,0.0004370794510016934,0.015625,0.015625
4,mean_embedding_norm,6.93728985786438,0.9999993562698364,10,-5.937290501594544,0.4196542637325729,-5.973451495170593,-6.731671154499054,-5.126589894294739,0,10,0,-6.237493077283092,-5.637087925905996,6.9603371368885315e-12,0.001953125,0.001953125,-14.148052372412248,5.568269709510825e-11,0.015625,0.015625
4,mean_feature_variance,0.8062359809875488,0.010204705689102358,10,-0.7960312752984464,0.12700962898428714,-0.7646557977423073,-1.0264099361374974,-0.6532419361174107,0,10,0,-0.886888490519373,-0.7051740600775198,9.835043501854571e-09,0.001953125,0.001953125,-6.267487604399872,4.917521750927286e-08,0.015625,0.015625
4,gradient_norm,0.25248474094495066,0.183821587003217,10,-0.06866315394173371,0.014616039641721859,-0.06603086720537106,-0.09013743081203959,-0.045804895088351616,0,10,0,-0.07911883883763879,-0.05820746904582864,1.2268446190866287e-07,0.001953125,0.001953125,-4.697794725852616,3.680533857259886e-07,0.015625,0.015625
8,mean_pairwise_cosine_distance,0.3084051787853241,0.9861508548259735,10,0.6777456760406494,0.28193874162138516,0.6304479837417603,0.31123441457748424,0.9878740906715393,10,0,0,0.47605885015612925,0.8794325019251695,3.3207221542052724e-05,0.001953125,0.001953125,2.4038756509411976,0.00019924332925231635,0.015625,0.015625
8,mean_edge_cosine_distance,0.2814149962039664,0.9731375753879548,10,0.6917225791839883,0.24696254422041083,0.6010957509279252,0.3882603049278259,0.9859387096948921,10,0,0,0.5150562176554666,0.8683889407125099,9.72888028961264e-06,0.001953125,0.001953125,2.800921011595325,7.783104231690112e-05,0.015625,0.015625
8,normalized_dirichlet_energy,0.485046689209604,1.5221067657346092,10,1.037060076525005,0.3818144072873866,0.8543238383157219,0.5605470342103904,1.5179411832134815,10,0,0,0.7639265034661283,1.3101936495838817,1.2492008881074887e-05,0.001953125,0.001953125,2.7161365750780164,8.74440621675242e-05,0.015625,0.015625
8,effective_rank,3.125550889968872,7.187865543365478,10,4.062314653396607,2.0780807454485415,4.01132869720459,1.541348934173584,6.714087128639221,10,0,0,2.575745240938595,5.548884065854619,0.00016238911253444672,0.001953125,0.001953125,1.9548396578400422,0.0008119455626722336,0.015625,0.015625
8,effective_rank_ratio,0.024418366327881764,0.056155199557542744,10,0.03173683322966099,0.016235005823816793,0.031338505446910844,0.012041788548231104,0.052453805692494,10,0,0,0.02012300969483273,0.04335065676448925,0.0001623891125344514,0.001953125,0.001953125,1.9548396578400347,0.0008119455626722336,0.015625,0.015625
8,mean_embedding_norm,5.177207797765732,0.9999993741512299,10,-4.177208423614502,5.516040832452121,-2.358130931854248,-16.767706513404846,0.097048580646515,3,7,0,-8.123146326822798,-0.23127052040620555,0.04024333760707275,0.048828125,0.02734375,-0.7572838110695331,0.12073001282121826,0.146484375,0.08203125
8,mean_feature_variance,0.9794621733721215,0.0093754725530743,10,-0.9700867008190471,2.442975830619953,-0.07373337051831184,-7.86604206264019,0.0095852032827679,5,5,0,-2.7176863324156315,0.7775129307775374,0.24083867387787547,0.232421875,0.0625,-0.3970922219778444,0.48167734775575094,0.46484375,0.125
8,gradient_norm,0.18422147284632964,0.2462220877398309,10,0.06200061489350128,0.18203344789032927,0.11020948480527225,-0.2464766998004323,0.2355634782908576,6,4,0,-0.06821826917571439,0.19221949896271695,0.30947001032545157,0.431640625,0.32421875,0.3406001238346875,0.48167734775575094,0.46484375,0.32421875
