dataset,h,feature_signal,variant,model,graph_seed,init_seed,lr,test_acc,epoch,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,pairwise,source
cSBM,0.1,0.5,baseline,GraphSAGE,1,11,0.03,0.515294075012207,200,1.8522754779349043e-11,2.534891366958618,0.0198038388043642,5.960464477539064e-08,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,1,29,0.03,0.49882352352142334,200,3.66831989677495e-13,4.270214557647705,0.0333610512316226,-2.384185791015625e-07,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,1,47,0.03,0.4999999701976776,200,4.326212332810624e-06,1.3014531135559082,0.0101676024496555,2.9206275939941406e-06,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,1,65,0.03,0.4958823323249817,200,5.322261936785572e-12,2.881256103515625,0.0225098133087158,5.960464477539064e-08,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,1,83,0.03,0.4999999701976776,200,0.0,1.000038981437683,0.0078128045424819,5.960464477539064e-08,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,2,11,0.03,0.4999999701976776,200,0.0,1.0000325441360474,0.0078127542510628,1.788139343261719e-07,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,2,29,0.03,0.4999999701976776,200,0.0,1.0000463724136353,0.0078128622844815,1.788139343261719e-07,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,2,47,0.03,0.4999999701976776,200,1.453255998397235e-06,1.7131885290145874,0.0133842853829264,8.940696716308594e-07,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,2,65,0.03,0.4999999701976776,200,1.306026883265281e-13,3.654629707336426,0.0285517945885658,5.960464477539064e-08,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,2,83,0.03,0.5058823227882385,200,2.768496153643333e-14,8.960785865783691,0.070006139576435,5.960464477539064e-08,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,3,11,0.03,0.4994117319583893,200,6.78873941223919e-11,1.394852876663208,0.0108972880989313,5.960464477539064e-08,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,3,29,0.03,0.9923529028892517,200,1.5290428564006062,1.7152951955795288,0.013400743715465,0.4000248312950134,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,3,47,0.03,0.4999999701976776,200,6.035855474763376e-07,1.2591309547424316,0.0098369605839252,5.960464477539064e-08,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,3,65,0.03,0.49529409408569336,200,1.121405592559346e-15,2.787932872772217,0.0217807255685329,1.788139343261719e-07,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,3,83,0.03,0.4999999701976776,200,2.4722226660465984e-07,1.1158896684646606,0.0087178880348801,5.960464477539064e-08,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,4,11,0.03,0.5052940845489502,200,8.138712083234075e-16,2.2864108085632324,0.0178625844419002,-2.384185791015625e-07,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,4,29,0.03,0.4999999701976776,200,0.0,1.000042200088501,0.0078128296881914,5.960464477539064e-08,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,4,47,0.03,0.4999999701976776,200,0.0,1.0000327825546265,0.007812756113708,-1.1920928955078125e-07,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,4,65,0.03,0.4999999701976776,200,2.783116778222838e-14,8.512967109680176,0.0665075555443763,5.960464477539064e-08,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,4,83,0.03,0.4999999701976776,200,4.273726577600264e-16,1.6067899465560913,0.0125530464574694,4.172325134277344e-07,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,5,11,0.03,0.9994117021560669,200,1.4699144668615731,2.229336977005005,0.0174166951328516,0.3800680637359619,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,5,29,0.03,0.49352937936782837,200,0.0,1.000051498413086,0.0078129023313522,1.788139343261719e-07,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,5,47,0.03,0.49705880880355835,200,1.71361742590362e-05,1.6983966827392578,0.0132687240839004,6.437301635742188e-06,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,5,65,0.03,0.501764714717865,200,1.694864899147558e-07,2.781569004058838,0.0217310078442096,5.960464477539064e-08,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,baseline,GraphSAGE,5,83,0.03,0.4999999701976776,200,1.9778345618947721e-19,1.013532280921936,0.0079182209447026,-1.1920928955078125e-07,csbm_l8_lr_sensitivity_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,1,11,0.03,0.9994117021560669,200,3.622640727099972,1.742917776107788,0.013616545125842,1.0003061294555664,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,1,29,0.03,0.9994117021560669,200,3.632833667399206,1.3809099197387695,0.0107883587479591,1.000366449356079,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,1,47,0.03,0.9999999403953552,200,3.615193806876018,1.6975570917129517,0.0132621647790074,1.0000892877578735,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,1,65,0.03,0.9999999403953552,200,3.6220411530218266,1.4925276041030884,0.0116603719070553,1.0002585649490356,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,1,83,0.03,0.9994117021560669,200,3.604013773013122,2.789557456970215,0.0217934176325798,1.0002211332321167,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,1,11,0.03,0.99647057056427,200,2.527976350770205,1.3035608530044556,0.0101840691640973,0.7212256193161011,csbm_l8_pairnorm_component_ablation_fs050
