Distance,Width,GraphSAGE,+ PairNorm,+ Rewiring,PairNorm + Rewiring
2,1,76.59 ± 1.23,96.40 ± 0.31,100.00 ± 0.00,100.00 ± 0.00
2,2,92.72 ± 1.43,97.55 ± 0.57,100.00 ± 0.00,100.00 ± 0.00
2,4,97.22 ± 5.28,99.04 ± 0.36,100.00 ± 0.00,100.00 ± 0.00
2,8,89.82 ± 7.17,99.93 ± 0.10,100.00 ± 0.00,100.00 ± 0.01
4,1,60.15 ± 1.48,98.16 ± 0.37,100.00 ± 0.00,100.00 ± 0.00
4,2,65.37 ± 4.40,98.43 ± 0.32,99.98 ± 0.03,100.00 ± 0.00
4,4,69.46 ± 7.07,98.83 ± 0.19,100.00 ± 0.00,100.00 ± 0.00
4,8,82.35 ± 8.19,99.68 ± 0.11,100.00 ± 0.00,100.00 ± 0.00
6,1,57.55 ± 0.95,97.62 ± 0.65,100.00 ± 0.00,100.00 ± 0.00
6,2,60.00 ± 0.54,98.20 ± 0.28,100.00 ± 0.00,100.00 ± 0.00
6,4,68.57 ± 4.72,98.58 ± 0.13,100.00 ± 0.00,100.00 ± 0.00
6,8,83.35 ± 5.12,99.77 ± 0.07,100.00 ± 0.00,100.00 ± 0.00
8,1,56.88 ± 0.44,97.55 ± 0.58,100.00 ± 0.00,99.98 ± 0.02
8,2,60.12 ± 1.19,97.36 ± 0.37,100.00 ± 0.00,99.99 ± 0.02
8,4,65.44 ± 2.42,97.89 ± 0.23,100.00 ± 0.00,99.99 ± 0.02
8,8,70.04 ± 0.71,99.58 ± 0.13,100.00 ± 0.00,100.00 ± 0.01
10,1,57.03 ± 0.38,97.41 ± 0.46,100.00 ± 0.00,99.96 ± 0.05
10,2,60.00 ± 0.72,97.24 ± 0.43,100.00 ± 0.00,99.98 ± 0.01
10,4,65.39 ± 1.52,97.58 ± 0.40,100.00 ± 0.00,99.98 ± 0.02
10,8,73.32 ± 4.45,99.01 ± 0.27,100.00 ± 0.00,99.99 ± 0.01
