Distance,Width,GraphSAGE,+ PairNorm,+ Rewiring,PairNorm + Rewiring
2,1,0.817 ± 0.010,0.904 ± 0.006,0.988 ± 0.002,0.975 ± 0.002
2,2,0.858 ± 0.012,0.902 ± 0.004,0.978 ± 0.004,0.974 ± 0.001
2,4,0.818 ± 0.043,0.880 ± 0.002,0.960 ± 0.003,0.959 ± 0.002
2,8,0.662 ± 0.052,0.792 ± 0.014,0.924 ± 0.001,0.919 ± 0.008
4,1,0.630 ± 0.058,0.934 ± 0.004,0.997 ± 0.002,0.968 ± 0.002
4,2,0.621 ± 0.089,0.924 ± 0.002,0.994 ± 0.002,0.967 ± 0.002
4,4,0.569 ± 0.090,0.893 ± 0.007,0.987 ± 0.005,0.958 ± 0.001
4,8,0.618 ± 0.096,0.816 ± 0.008,0.962 ± 0.009,0.931 ± 0.003
6,1,0.525 ± 0.029,0.936 ± 0.008,0.999 ± 0.001,0.963 ± 0.002
6,2,0.502 ± 0.003,0.931 ± 0.005,0.998 ± 0.001,0.961 ± 0.001
6,4,0.550 ± 0.052,0.901 ± 0.009,0.995 ± 0.003,0.955 ± 0.003
6,8,0.579 ± 0.008,0.829 ± 0.012,0.985 ± 0.006,0.925 ± 0.004
8,1,0.505 ± 0.007,0.952 ± 0.006,1.000 ± 0.000,0.959 ± 0.003
8,2,0.535 ± 0.051,0.941 ± 0.004,1.000 ± 0.000,0.957 ± 0.001
8,4,0.535 ± 0.048,0.911 ± 0.011,0.999 ± 0.000,0.950 ± 0.006
8,8,0.510 ± 0.014,0.844 ± 0.012,0.996 ± 0.001,0.930 ± 0.008
10,1,0.511 ± 0.017,0.955 ± 0.007,1.000 ± 0.000,0.955 ± 0.003
10,2,0.522 ± 0.044,0.947 ± 0.005,1.000 ± 0.000,0.952 ± 0.009
10,4,0.549 ± 0.047,0.913 ± 0.005,1.000 ± 0.000,0.957 ± 0.004
10,8,0.524 ± 0.020,0.855 ± 0.015,1.000 ± 0.000,0.935 ± 0.010
