Distance,Width,PairNorm gain (pp),Rewiring gain (pp),Rewiring after PairNorm (pp),PairNorm after rewiring (pp)
2,1,19.81 ± 1.34,23.41 ± 1.23,3.60 ± 0.31,0.00 ± 0.00
2,2,4.83 ± 0.88,7.28 ± 1.43,2.45 ± 0.57,0.00 ± 0.00
2,4,1.81 ± 5.35,2.77 ± 5.28,0.96 ± 0.36,0.00 ± 0.00
2,8,10.11 ± 7.18,10.18 ± 7.17,0.06 ± 0.10,-0.00 ± 0.01
4,1,38.01 ± 1.23,39.85 ± 1.48,1.84 ± 0.37,0.00 ± 0.00
4,2,33.05 ± 4.38,34.61 ± 4.42,1.57 ± 0.32,0.02 ± 0.03
4,4,29.37 ± 7.20,30.54 ± 7.07,1.17 ± 0.19,0.00 ± 0.00
4,8,17.33 ± 8.21,17.65 ± 8.19,0.32 ± 0.11,0.00 ± 0.00
6,1,40.07 ± 1.41,42.45 ± 0.95,2.38 ± 0.65,0.00 ± 0.00
6,2,38.19 ± 0.36,40.00 ± 0.54,1.80 ± 0.28,0.00 ± 0.00
6,4,30.01 ± 4.64,31.43 ± 4.72,1.42 ± 0.13,0.00 ± 0.00
6,8,16.42 ± 5.10,16.65 ± 5.12,0.23 ± 0.07,0.00 ± 0.00
8,1,40.68 ± 0.93,43.12 ± 0.44,2.43 ± 0.58,-0.02 ± 0.02
8,2,37.25 ± 1.03,39.88 ± 1.19,2.63 ± 0.37,-0.01 ± 0.02
8,4,32.45 ± 2.26,34.56 ± 2.42,2.10 ± 0.23,-0.01 ± 0.02
8,8,29.54 ± 0.74,29.96 ± 0.71,0.42 ± 0.13,-0.00 ± 0.01
10,1,40.38 ± 0.40,42.97 ± 0.38,2.55 ± 0.50,-0.04 ± 0.05
10,2,37.25 ± 0.67,40.00 ± 0.72,2.74 ± 0.43,-0.02 ± 0.01
10,4,32.19 ± 1.32,34.61 ± 1.52,2.40 ± 0.41,-0.02 ± 0.02
10,8,25.69 ± 4.38,26.68 ± 4.45,0.98 ± 0.27,-0.01 ± 0.01
