model,distance,width,n_graphs,accuracy_mean,accuracy_sd,specificity_mean,specificity_sd,influence_mean,influence_sd
GraphSAGE,2,1,5,0.7659071180555556,0.012291638696977492,0.8168430283592789,0.010418388095108153,1.1420990271493792,0.12816174860379012
GraphSAGE,2,2,5,0.9271701388888889,0.014326902920139729,0.8584345342629118,0.012088508358693042,3.4511819488679363,0.41368092065975104
GraphSAGE,2,4,5,0.9722439236111111,0.05279313917971404,0.818057409227307,0.04312589584779676,4.711628932552412,0.438233939234458
GraphSAGE,2,8,5,0.8981987847222221,0.07174181800275199,0.6623730624561406,0.05239258144751196,3.3244467749324635,1.4621281454861683
GraphSAGE,4,1,5,0.6014973958333333,0.01477440692185976,0.629805351888233,0.05753921724317312,0.10878177603105232,0.04853104091023555
GraphSAGE,4,2,5,0.6537326388888889,0.04398945667319771,0.6211437556484908,0.08880911166629668,0.49637372148038894,0.5941590655395953
GraphSAGE,4,4,5,0.6945746527777777,0.07066949083774815,0.5691470878002218,0.09017979413249702,1.5545111774436313,2.0775104658793278
GraphSAGE,4,8,5,0.8235460069444445,0.08190216726753678,0.6184758623569564,0.09647603008755146,2.3510044781228623,1.4495081515328936
GraphSAGE,6,1,5,0.5754557291666667,0.009488806661010837,0.5247149779213419,0.028735439370855376,0.023675246683690858,0.011315088759515047
GraphSAGE,6,2,5,0.6000434027777779,0.005404691582210219,0.5016317362350308,0.002515649225350516,0.02928446110227768,0.004056546129610552
GraphSAGE,6,4,5,0.6856770833333334,0.047175095922137054,0.5504934381401376,0.05220636230608207,1.1445569995365985,1.0552724827721782
GraphSAGE,6,8,5,0.8334852430555555,0.05119875768976317,0.5785129604320906,0.008388383565441247,4.080202181535242,1.2969510733206295
GraphSAGE,8,1,5,0.56875,0.0043542256355518045,0.5051624666446088,0.006556576088702941,0.01512842497151418,0.0013269063679657142
GraphSAGE,8,2,5,0.6011501736111111,0.01193018927583658,0.5346413341848936,0.05121389404090399,0.0677493957062817,0.05036296251004716
