Condition,LR,Variant,Test accuracy,NDE,Effective rank
PubMed (h = 0.1),0.01,Baseline,39.94% ± 0.00,5.34e-16 ± 2.61e-15,1.043 ± 0.145
PubMed (h = 0.1),0.01,Center only,39.94% ± 0.00,6.17e-31 ± 2.83e-30,0.00e+00 ± 0.00e+00
PubMed (h = 0.1),0.01,Scale only,80.82% ± 1.00,1.967 ± 0.121,3.719 ± 0.214
PubMed (h = 0.1),0.01,Full PairNorm,83.28% ± 0.52,2.689 ± 0.149,4.539 ± 0.211
Roman-Empire (h = 0.9),0.01,Baseline,98.38% ± 0.29,0.073 ± 0.028,9.895 ± 0.763
Roman-Empire (h = 0.9),0.01,Center only,98.23% ± 0.37,0.061 ± 0.043,1.894 ± 0.927
Roman-Empire (h = 0.9),0.01,Scale only,97.86% ± 0.35,0.128 ± 0.030,14.796 ± 3.171
Roman-Empire (h = 0.9),0.01,Full PairNorm,98.21% ± 0.22,0.173 ± 0.017,16.413 ± 1.117
"cSBM (h = 0.1, FS = 0.50)",0.03,Baseline,54.00% ± 13.73,0.120 ± 0.415,2.389 ± 2.111
"cSBM (h = 0.1, FS = 0.50)",0.03,Center only,99.87% ± 0.20,3.610 ± 0.049,1.760 ± 0.351
"cSBM (h = 0.1, FS = 0.50)",0.03,Scale only,99.68% ± 0.42,2.542 ± 0.203,1.301 ± 0.061
"cSBM (h = 0.1, FS = 0.50)",0.03,Full PairNorm,99.87% ± 0.24,3.600 ± 0.038,1.910 ± 0.308
